;WHOIS Servers List
;old list: http://www.nirsoft.net/whois_servers_list.html
;this list from: https://github.com/WooMai/whois-servers/blob/master/list.txt
;update by: https://github.com/poctopus
;Last updated on 2023-04-20
ae whois.aeda.net.ae
aero whois.aero
adult whois.registrar.adult
ads whois.nic.google
af whois.nic.af
ag whois.nic.ag
agency whois.nic.agency
ai whois.nic.ai
alibaba whois.nic.alibaba
alipay whois.nic.alipay
am whois.amnic.net
anquan whois.teleinfo.cn
android whois.nic.google
app whois.nic.google
arpa whois.iana.org
art whois.nic.art
as whois.nic.as
asia whois.nic.asia
at whois.nic.at
au whois.ausregistry.net
aws whois.nic.aws
be whois.dns.be
berlin whois.nic.berlin
best whois.nic.best
bg whois.register.bg
blog whois.nic.blog
bi whois.nic.bi
biz whois.biz
bj whois.nic.bj
black whois.afilias.net
blue whois.afilias.net
bo whois.nic.bo
bot whois.nic.bot
br whois.nic.br
by whois.cctld.by
bz bzwhois.verisign-grs.co
ca whois.cira.ca
cafe whois.nic.cafe
cash whois.nic.cash
cat whois.nic.cat
center whois.nic.center
cc ccwhois.verisign-grs.com
cf whois.dot.cf
ch whois.nic.ch
channel whois.nic.google
chrome whois.nic.google
ci whois.nic.ci
city whois.nic.city
ck whois.ck-nic.org.ck
cl whois.nic.cl
cloud whois.nic.cloud
club whois.nic.club
cn whois.cnnic.net.cn
co whois.nic.co
com whois.verisign-grs.com
cool whois.nic.cool
coop whois.nic.coop
credit whois.nic.credit
creditcard whois.nic.creditcard
cyou whois.nic.cyou
cx whois.nic.cx
cz whois.nic.cz
dad whois.nic.google
day whois.nic.google
dclk whois.nic.google
de whois.denic.de
design whois.nic.design
dev whois.nic.google
digital whois.nic.digital
dk whois.dk-hostmaster.dk
dm whois.nic.dm
drive whois.nic.google
do ns.nic.do
docs whois.nic.google
download whois.nic.download
dog whois.nic.dog
earth whois.nic.earth
eat whois.nic.google
ec whois.nic.ec
edu whois.educause.net
ee whois.eenet.ee
email whois.nic.email
es whois.nic.es
eu whois.eu
fi whois.ficora.fi
fly whois.nic.google
foo whois.nic.google
fr whois.nic.fr
fun whois.nic.fun
ga whois.dot.ga
gay whois.nic.gay
gd whois.nic.gd
gg whois.gg
gi whois2.afilias-grs.net
gle whois.nic.google
global whois.nic.global
gmail whois.nic.google
golf whois.nic.golf
google whois.nic.google
gov whois.dotgov.gov
gq whois.dominio.gq
group whois.nic.group
gs whois.nic.gs
guge whois.nic.google
gy whois.registry.gy
here whois.nic.google
hk whois.hkirc.hk
hkt whois.nic.hkt
hangout whois.nic.google
hm webhost1.capital.hm
hn whois2.afilias-grs.net
host whois.nic.host
how whois.nic.google
ht whois.nic.ht
hu whois.nic.hu
icu whois.nic.icu
id whois.id
ie whois.domainregistry.ie
il whois.isoc.org.il
im whois.nic.im
in whois.registry.in
info whois.afilias.net
ink whois.nic.ink
int whois.iana.org
io whois.nic.io
ir whois.nic.ir
is whois.isnic.is
it whois.nic.it
je whois.je
jobs jobswhois.verisign-grs.com
jp whois.jprs.jp
ke whois.kenic.or.ke
kg whois.domain.kg
ki whois.nic.ki
kp whois.kcce.kp
kr whois.krnic.net
kz whois.nic.kz
la whois.nic.la
lgbt whois.afilias.net
li whois.nic.li
life whois.nic.life
link whois.uniregistry.net
live whois.nic.live
loan whois.nic.loan
lt whois.domreg.lt
ltd whois.nic.ltd
lu whois.dns.lu
lv whois.nic.lv
ly whois.nic.ly
ma whois.iam.net.ma
map whois.nic.google
md whois.nic.md
me whois.nic.me
meet whois.nic.google
meme whois.nic.google
men whois.nic.men
mg whois.nic.mg
mit whois.afilias-srs.net
mk whois.marnet.mk
ml whois.dot.ml
mn whois.nic.mn
mo whois.monic.mo
mobi whois.dotmobiregistry.net
moe whois.nic.moe
money whois.nic.money
ms whois.nic.ms
mu whois.nic.mu
museum whois.museum
mx whois.nic.mx
my whois.mynic.net.my
na whois.na-nic.com.na
name whois.nic.name
net whois.verisign-grs.com
network whois.nic.network
new whois.nic.google
news whois.nic.news
ninja whois.nic.ninja
nl whois.domain-registry.nl
no whois.norid.no
nu whois.nic.nu
nz whois.srs.net.nz
one whois.nic.one
online whois.nic.online
ooo whois.nic.ooo
orange whois.nic.orange
org whois.publicinterestregistry.net
ovh whois-ovh.nic.fr
page whois.nic.google
party whois.nic.party
pccw whois.nic.pccw
pe kero.yachay.pe
pink whois.afilias.net
pl whois.dns.pl
play whois.nic.google
plus whois.nic.plus
pm whois.nic.pm
porn whois.registrar.adult
pr whois.nic.pr
press whois.nic.press
pro whois.registrypro.pro
pt whois.dns.pt
pub whois.nic.pub
pw whois.nic.pw
re whois.nic.re
red whois.afilias.net
ren whois.nic.ren
rentals whois.nic.rentals
rest whois.nic.rest
review whois.nic.review
ro whois.rotld.ro
rocks whois.nic.rocks
rs whois.rnids.rs
ru whois.ripn.net
run whois.nic.run
sa nic.net.sa
sb whois.nic.sb
sc whois2.afilias-grs.net
science whois.nic.science
se whois.iis.se
search whois.nic.google
sex whois.registrar.adult
sg whois.nic.net.sg
sh whois.nic.sh
shop whois.nic.shop
si whois.arnes.si
sina whois.nic.sina
site whois.nic.site
sk whois.sk-nic.sk
sl whois.nic.sl
sm whois.nic.sm
smart whois.nic.smart
sn whois.nic.sn
so whois.nic.so
space whois.nic.space
ss whois.nic.ss
st whois.nic.st
store whois.nic.store
stream whois.nic.stream
su whois.ripn.net
sucks whois.nic.sucks
tc whois.nic.tc
team whois.nic.team
tech whois.nic.tech
tel whois.nic.tel
tf whois.nic.tf
th whois.thnic.net
tk whois.dot.tk
tl whois.nic.tl
tm whois.nic.tm
tn whois.ati.tn
to whois.tonic.to
today whois.nic.today
tokyo whois.nic.tokyo
tools whois.nic.tools
top whois.nic.top
tr whois.nic.tr
trade whois.nic.trade
travel whois.nic.travel
tube whois.nic.tube
tv whois.nic.tv
tw whois.twnic.net
ua whois.net.ua
ug whois.co.ug
uk whois.nic.uk
us whois.nic.us
uy whois.nic.org.uy
uz whois.cctld.uz
vc whois2.afilias-grs.net
ve whois.nic.ve
vg whois.nic.vg
wang whois.nic.wang
website whois.nic.website
weibo whois.nic.weibo
wf whois.nic.wf
wiki whois.nic.wiki
win whois.nic.win
work whois.nic.work
works whois.nic.works
world whois.nic.world
ws whois.website.ws
wtf whois.nic.wtf
xihuan whois.teleinfo.cn
xin whois.nic.xin
xxx whois.nic.xxx
xyz whois.nic.xyz
yoga whois.nic.yoga
you whois.nic.you
youtube whois.nic.google
yun whois.teleinfo.cn
yt whois.nic.yt
zip whois.nic.google
zone whois.nic.zone
